Diameter / mm,RMS (Plano first),RMS (Convex first),Diameter / mm,RMS (Plano first) / nm,RMS (Convex first) / nm
1,6.24E-06,6.09E-06,1,6.24E+00,6.09E+00
2,3.79E-06,3.69E-06,2,3.79E+00,3.69E+00
3,2.37E-04,2.31E-04,3,2.37E+02,2.31E+02
4,7.01E-04,6.84E-04,4,7.01E+02,6.84E+02
5,1.47E-03,1.44E-03,5,1.47E+03,1.44E+03
6,2.61E-03,2.55E-03,6,2.61E+03,2.55E+03
7,4.20E-03,4.10E-03,7,4.20E+03,4.10E+03
8,6.28E-03,6.14E-03,8,6.28E+03,6.14E+03
9,8.95E-03,8.74E-03,9,8.95E+03,8.74E+03
10,1.23E-02,1.20E-02,10,1.23E+04,1.20E+04
15,4.09E-02,4.00E-02,15,4.09E+04,4.00E+04
20,9.60E-02,9.42E-02,20,9.60E+04,9.42E+04
25,1.87E-01,1.84E-01,25,1.87E+05,1.84E+05
30,3.22E-01,3.19E-01,30,3.22E+05,3.19E+05
35,5.11E-01,5.09E-01,35,5.11E+05,5.09E+05
40,7.65E-01,7.66E-01,40,7.65E+05,7.66E+05